start_time,c,h,l,o,t
1705586400000,0.01,0.01,0.01,0.01,1705586400
1705590000000,0.01,0.01,0.01,0.01,1705590000
1705593600000,0.01,0.01,0.01,0.01,1705593600
1705597200000,0.01,0.01,0.01,0.01,1705597200
1705600800000,0.01,0.01,0.01,0.01,1705600800
1705604400000,0.01,0.01,0.01,0.01,1705604400
1705608000000,0.01,0.01,0.01,0.01,1705608000
1705611600000,0.01,0.01,0.01,0.01,1705611600
1705615200000,0.01,0.01,0.01,0.01,1705615200
1705618800000,0.01,0.01,0.01,0.01,1705618800
1705622400000,0.01,0.01,0.01,0.01,1705622400
1705626000000,0.01,0.01,0.01,0.01,1705626000
1705629600000,0.01,0.01,0.01,0.01,1705629600
1705633200000,0.01,0.01,0.01,0.01,1705633200
1705636800000,0.01,0.01,0.01,0.01,1705636800
1705640400000,0.01,0.01,0.01,0.01,1705640400
1705644000000,0.01,0.01,0.01,0.01,1705644000
1705647600000,0.01,0.01,0.01,0.01,1705647600
1705651200000,0.01,0.01,0.01,0.01,1705651200
1705654800000,0.01,0.01,0.01,0.01,1705654800
1705658400000,0.01,0.01,0.01,0.01,1705658400
1705662000000,0.01,0.01,0.01,0.01,1705662000
1705665600000,0.01,0.01,0.01,0.01,1705665600
1705669200000,0.01,0.01,0.01,0.01,1705669200
1705672800000,0.01,0.01,0.01,0.01,1705672800
1705676400000,0.01,0.01,0.01,0.01,1705676400
1705680000000,0.01,0.01,0.01,0.01,1705680000
1705683600000,0.01,0.01,0.01,0.01,1705683600
1705687200000,0.01,0.01,0.01,0.01,1705687200
1705690800000,0.01,0.01,0.01,0.01,1705690800
1705694400000,0.01,0.01,0.01,0.01,1705694400
1705698000000,0.01,0.01,0.01,0.01,1705698000
1705701600000,0.01,0.01,0.01,0.01,1705701600
1705705200000,0.01,0.01,0.01,0.01,1705705200
1705708800000,0.01,0.01,0.01,0.01,1705708800
1705712400000,0.01,0.01,0.01,0.01,1705712400
1705716000000,0.01,0.01,0.01,0.01,1705716000
1705719600000,0.01,0.01,0.01,0.01,1705719600
1705723200000,0.01,0.01,0.01,0.01,1705723200
1705726800000,0.01,0.01,0.01,0.01,1705726800
1705730400000,0.01,0.01,0.01,0.01,1705730400
1705734000000,0.01,0.01,0.01,0.01,1705734000
1705737600000,0.01,0.01,0.01,0.01,1705737600
1705741200000,0.01,0.01,0.01,0.01,1705741200
1705744800000,0.01,0.01,0.01,0.01,1705744800
1705748400000,0.01,0.01,0.01,0.01,1705748400
1705752000000,0.01,0.01,0.01,0.01,1705752000
1705755600000,0.01,0.01,0.01,0.01,1705755600
1705759200000,0.01,0.01,0.01,0.01,1705759200
